algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,197,179,218,204,202,0.0004175639999857594
custom,189,192,190,219,210,0.0004526100000034603
djb2,204,195,206,196,199,0.00047090699999762366
fnv1a,215,198,187,195,205,0.0009003779999943618
gb64,214,224,174,193,195,0.0014051680000002308
md5,197,207,211,186,199,0.0017215280000027634
sha1,187,196,212,215,190,0.0017952450000016142
ssl3-md5,223,174,203,203,197,0.001796803999990061
md5WithRSAEncryption,200,179,211,199,211,0.0018694470000064029
sha1WithRSAEncryption,201,188,217,198,196,0.0018822120000054382
ssl3-sha1,193,195,185,211,216,0.001883563999996113
ripemd,194,188,184,219,215,0.0019096969999923203
ripemd160,188,197,218,197,200,0.001991183000012825
blake2s256,218,197,193,191,201,0.002002774999999019
RSA-SHA512/224,200,190,209,211,190,0.0020469310000057702
RSA-SHA1-2,192,193,233,167,215,0.002078894999996919
RSA-SHA1,212,215,220,160,193,0.0020961139999981244
md5-sha1,200,203,179,190,228,0.002108569999999872
ripemd160WithRSA,224,184,183,197,212,0.002109539999995377
sha512-224,205,212,189,209,185,0.0021252959999951597
RSA-SHA384,214,187,188,202,209,0.002139148999999179
sm3WithRSAEncryption,194,206,186,200,214,0.002162765999995372
id-rsassa-pkcs1-v1_5-with-sha3-256,232,208,180,185,195,0.002167591999999786
rmd160,227,163,193,210,207,0.002178113999991183
RSA-SHA224,213,197,187,186,217,0.002205040999998346
RSA-SM3,206,197,199,215,183,0.002205858999994689
sm3,195,199,187,206,213,0.0022166749999955756
sha256WithRSAEncryption,204,196,190,207,203,0.0022364630000051874
sha384WithRSAEncryption,205,206,188,195,206,0.0022434240000006865
id-rsassa-pkcs1-v1_5-with-sha3-224,212,210,187,195,196,0.0023045769999989717
RSA-SHA3-256,220,193,213,196,178,0.002356611999996403
RSA-SHA512/256,203,201,179,195,222,0.002359350000001541
sha256,219,198,195,212,176,0.002386207000005015
sha224WithRSAEncryption,195,192,202,204,207,0.0023937939999927947
sha512WithRSAEncryption,207,234,177,194,188,0.0023941900000031637
sha3-384,198,197,210,200,195,0.0024118099999950572
sha512-224WithRSAEncryption,174,194,216,204,212,0.0024124089999954775
shake256,203,211,197,198,191,0.0024183049999915054
RSA-SHA3-512,193,192,220,204,191,0.0024249060000029205
sha3-256,198,214,178,210,200,0.0024333489999958146
sha224,213,189,218,186,194,0.0024373630000113734
sha3-224,192,220,194,200,194,0.002487864999998237
RSA-SHA512,189,187,202,213,209,0.0024879730000052403
sha384,194,192,217,199,198,0.002494466999997712
blake2b512,190,195,215,200,200,0.0025201850000007653
id-rsassa-pkcs1-v1_5-with-sha3-512,189,189,193,226,203,0.0025541480000015326
RSA-SHA3-224,224,205,185,198,188,0.002565405999990162
RSA-SHA3-384,218,183,190,178,231,0.0025849170000083175
sha512,203,186,192,218,201,0.002664574000007633
shake128,218,199,206,190,187,0.0027207319999984067
sha512-256,205,182,209,198,206,0.002770001999987926
sha3-512,237,214,187,174,188,0.0028773060000089573
id-rsassa-pkcs1-v1_5-with-sha3-384,190,197,212,194,207,0.003262250999996013
gb32,235,191,176,192,206,0.0035680290000004787
RSA-MD5,193,188,224,190,205,0.003688943999999992
RSA-RIPEMD160,218,212,201,201,168,0.004096407000001363
sha512-256WithRSAEncryption,198,184,219,197,202,0.004953397000000223
RSA-SHA256,215,200,193,168,224,0.008756749999992736
