algorithm,twenty,fourty,sixty,eighty,hundred,time
md5WithRSAEncryption,94,116,95,107,88,0.001437086000002637
ssl3-md5,99,107,100,102,92,0.001476862000003166
sha1WithRSAEncryption,99,95,102,99,105,0.0014995940000080735
RSA-SHA1-2,95,98,90,108,109,0.0015039580000020577
sha1,99,107,100,92,102,0.0016464359999945372
ssl3-sha1,95,98,108,103,96,0.001666347999998834
ripemd160,113,93,95,87,112,0.0016756420000037906
RSA-SHA224,94,97,112,93,104,0.0016908880000037242
rmd160,93,104,99,92,112,0.0016954260000047725
RSA-MD5,107,101,96,101,95,0.0017060820000060631
md5,83,107,104,98,108,0.0017272399999983463
sha256,90,101,90,112,107,0.0017427879999913785
RSA-SHA1,102,110,106,92,90,0.001748844000000645
ripemd,98,95,97,109,101,0.0017525019999939104
ripemd160WithRSA,104,116,99,86,95,0.0017792420000032508
sha224,116,85,101,100,98,0.0017960839999996096
sha512-256WithRSAEncryption,103,97,104,101,95,0.0018220820000060484
RSA-SHA512/256,99,100,96,97,108,0.0018377700000155527
sha224WithRSAEncryption,105,94,111,104,86,0.0018787720000054834
sha512-224WithRSAEncryption,100,114,97,92,97,0.001889313999985461
RSA-SHA512/224,102,97,106,99,96,0.0018924819999938335
sm3,104,112,93,97,94,0.001954673999991428
sm3WithRSAEncryption,105,91,85,112,107,0.0019632980000087626
sha512-224,107,89,112,96,96,0.001976520000003802
RSA-SHA384,91,111,99,103,96,0.0019781760000132636
RSA-RIPEMD160,105,94,89,103,109,0.0019932980000039605
sha384,99,106,95,103,97,0.0020076119999912407
shake128,92,96,114,102,96,0.002013663999984601
RSA-SM3,105,85,106,101,103,0.0020249519999833866
sha512-256,107,94,104,90,105,0.002036804000002121
sha256WithRSAEncryption,88,102,98,113,99,0.0020793020000019168
blake2s256,109,104,110,97,80,0.0020845779999863227
id-rsassa-pkcs1-v1_5-with-sha3-224,100,106,105,94,95,0.002090506000003188
RSA-SHA3-256,110,96,96,94,104,0.0021014939999904527
RSA-SHA3-224,109,116,93,79,103,0.002150067999979001
shake256,115,88,104,99,94,0.0021607200000044033
RSA-SHA512,95,105,94,93,113,0.002169336000005387
id-rsassa-pkcs1-v1_5-with-sha3-256,102,98,97,110,93,0.002183627999989767
sha3-224,113,91,108,98,90,0.0021837060000016208
sha512WithRSAEncryption,104,97,99,107,93,0.0022053679999835367
sha384WithRSAEncryption,97,86,94,110,113,0.0022426719999948546
blake2b512,97,93,98,106,106,0.0022519079999847235
RSA-SHA3-384,90,109,91,106,104,0.0022772039999908885
id-rsassa-pkcs1-v1_5-with-sha3-384,91,97,105,94,113,0.002322854000004554
sha3-512,69,119,100,100,112,0.00240999599999941
sha3-256,87,96,110,102,105,0.002432513999983712
id-rsassa-pkcs1-v1_5-with-sha3-512,99,96,110,102,93,0.002438403999985894
sha3-384,101,97,101,103,98,0.002448368000013943
sha512,96,95,91,100,118,0.0027995840000039607
RSA-SHA3-512,107,89,107,105,92,0.003255713999998079
RSA-SHA256,95,98,96,103,108,0.01786941200000183
md5-sha1,107,99,93,98,103,0.018144318000002387
