algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,0,10,90,400,0,0.0001301099999955113
djb2,60,70,100,120,150,0.00013239000000794476
custom,144,155,59,37,105,0.0001391339999986485
gb64,102,98,101,106,93,0.00040475999999534904
gb32,97,93,102,91,117,0.00044554800000469187
fnv1a,107,96,102,92,103,0.0007463140000004387
RSA-SHA1-2,92,100,108,106,94,0.001460182000000259
RSA-SHA1,92,100,108,106,94,0.001478358000001208
sha1,92,100,108,106,94,0.0014990579999939655
sha1WithRSAEncryption,92,100,108,106,94,0.0015042299999986426
md5WithRSAEncryption,93,98,93,113,103,0.001577212000003783
RSA-SHA224,96,95,107,103,99,0.0016371459999950275
RSA-SHA256,92,104,95,111,98,0.0016455080000037014
ripemd160,111,98,86,98,107,0.001667247999996107
sha224,96,95,107,103,99,0.001672827999999754
RSA-RIPEMD160,111,98,86,98,107,0.0016734419999943383
ripemd160WithRSA,111,98,86,98,107,0.0016885540000002948
ripemd,111,98,86,98,107,0.0016919979999911448
blake2s256,96,104,86,113,101,0.0017002120000033755
RSA-SHA512/256,92,100,110,96,102,0.0017105519999968237
ssl3-md5,93,98,93,113,103,0.0017111119999945004
sha224WithRSAEncryption,96,95,107,103,99,0.0017275319999953353
sha256WithRSAEncryption,92,104,95,111,98,0.0017499860000025364
RSA-SHA512/224,96,107,97,96,104,0.001778522000002795
ssl3-sha1,92,100,108,106,94,0.0017794879999864861
rmd160,111,98,86,98,107,0.0017839860000003682
sha256,92,104,95,111,98,0.001791609999989305
RSA-SM3,104,113,80,99,104,0.001823041999995894
md5,93,98,93,113,103,0.001850665999987541
RSA-MD5,93,98,93,113,103,0.0018531059999995704
id-rsassa-pkcs1-v1_5-with-sha3-224,121,84,92,109,94,0.0019266620000043986
sha3-224,121,84,92,109,94,0.0019977019999951155
blake2b512,98,109,93,108,92,0.002020619999995688
sha512-224,96,107,97,96,104,0.002035650000007081
id-rsassa-pkcs1-v1_5-with-sha3-256,96,94,90,101,119,0.0020442140000041034
id-rsassa-pkcs1-v1_5-with-sha3-384,100,86,99,99,116,0.0020455319999937273
sha384,95,116,88,94,107,0.0020540199999986727
sm3,104,113,80,99,104,0.002058511999985967
sha384WithRSAEncryption,95,116,88,94,107,0.0020718779999860997
sha3-256,96,94,90,101,119,0.002083048000004055
sha3-384,100,86,99,99,116,0.0021102339999952164
sha512-224WithRSAEncryption,96,107,97,96,104,0.002125426000004154
sm3WithRSAEncryption,104,113,80,99,104,0.002149980000001051
RSA-SHA3-256,96,94,90,101,119,0.002152904000000035
sha512-256,92,100,110,96,102,0.0021878680000081657
RSA-SHA3-512,93,97,103,117,90,0.0022491239999917526
RSA-SHA512,103,92,100,100,105,0.002261371999997209
sha3-512,93,97,103,117,90,0.002284492000006139
shake128,95,107,89,96,113,0.002330052000003889
RSA-SHA3-384,100,86,99,99,116,0.0023551200000006245
sha512WithRSAEncryption,103,92,100,100,105,0.0023787920000004304
sha512-256WithRSAEncryption,92,100,110,96,102,0.002384571999992659
sha512,103,92,100,100,105,0.0023856399999986023
shake256,90,99,100,101,110,0.002424580000005335
id-rsassa-pkcs1-v1_5-with-sha3-512,93,97,103,117,90,0.002459283999989566
RSA-SHA3-224,121,84,92,109,94,0.002882631999993464
md5-sha1,92,100,108,106,94,0.0031545640000022104
RSA-SHA384,95,116,88,94,107,0.022494378000002598
