
algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,196,217,197,213,177,0.7205410003662109
custom,220,227,178,187,188,0.8098559379577637
md5WithRSAEncryption,202,195,206,209,188,2.7163989543914795
ssl3-sha1,213,188,183,223,193,2.8297970294952393
ssl3-md5,190,203,174,213,220,2.8599510192871094
ripemd,188,192,219,203,198,2.887946844100952
RSA-SHA1,178,204,199,226,193,3.1238598823547363
shake256,193,207,207,184,209,3.22131085395813
shake128,192,208,188,188,224,3.6124861240386963
sha512-256,205,187,200,205,203,3.680209159851074
sm3,192,189,202,195,222,3.697913885116577
sha512-224WithRSAEncryption,215,215,211,166,193,3.704559803009033
RSA-SHA512/224,207,198,214,178,203,3.785609006881714
sha384,197,198,217,192,196,3.898494005203247
sha3-224,191,201,203,192,213,4.190319061279297
RSA-SHA3-384,218,209,177,206,190,4.298227071762085
ripemd160WithRSA,189,208,197,229,177,4.5000669956207275
RSA-SHA512/256,209,198,176,210,207,4.9764649868011475
RSA-RIPEMD160,214,181,206,206,193,5.020327091217041
sm3WithRSAEncryption,193,203,200,223,181,5.199014186859131
sha256,182,217,234,192,175,5.539230108261108
sha512-224,206,214,194,196,190,5.80762791633606
ripemd160,198,187,189,208,218,5.916727066040039
sha3-384,149,219,250,184,198,6.090498924255371
rmd160,183,201,215,208,193,6.5025389194488525
sha224WithRSAEncryption,190,185,205,189,231,6.5300679206848145
md5,217,204,168,214,197,6.748426914215088
id-rsassa-pkcs1-v1_5-with-sha3-512,207,202,181,194,216,6.764604091644287
blake2s256,213,180,197,203,207,7.5336878299713135
RSA-SHA384,197,171,215,232,185,7.915364027023315
RSA-SHA3-512,222,195,215,185,183,8.311500072479248
RSA-SHA3-256,202,208,209,195,186,8.35706877708435
sha512WithRSAEncryption,186,219,200,205,190,8.608627080917358
sha3-256,230,209,185,212,164,9.58543610572815
RSA-MD5,185,185,209,204,217,10.749368906021118
sha512-256WithRSAEncryption,201,205,184,205,205,10.876487970352173
sha1WithRSAEncryption,219,176,220,192,193,11.317966938018799
id-rsassa-pkcs1-v1_5-with-sha3-224,210,200,199,194,197,14.392325162887573
RSA-SHA256,212,194,204,201,189,14.905441045761108
sha384WithRSAEncryption,196,189,201,212,202,19.687834978103638
id-rsassa-pkcs1-v1_5-with-sha3-384,182,197,209,218,194,21.175013065338135
blake2b512,209,188,184,202,217,22.722639083862305
sha1,218,190,195,216,181,22.78929591178894
RSA-SHA3-224,192,195,215,210,188,24.76054620742798
sha3-512,207,194,210,176,213,24.92892813682556
sha224,191,195,211,186,217,26.16615104675293
RSA-SHA512,188,186,203,199,224,36.089069843292236
RSA-SM3,226,212,175,200,187,39.673532009124756
id-rsassa-pkcs1-v1_5-with-sha3-256,198,206,191,212,193,40.58750081062317
RSA-SHA1-2,177,226,179,208,210,41.15524506568909
sha256WithRSAEncryption,222,191,186,216,185,41.786765813827515
md5-sha1,204,187,202,196,211,42.840577125549316
RSA-SHA224,228,208,186,187,191,48.81948399543762
sha512,198,193,204,187,218,64.59858202934265
