algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,1993,2057,1920,1967,2063,6.978657960891724
custom,1941,1975,2059,1994,2031,14.941036939620972
RSA-SHA224,2024,2054,1956,2011,1955,31.818612098693848
md5-sha1,2031,1939,2056,1949,2025,32.20564293861389
sha256,2021,2001,1991,2015,1972,33.64745092391968
sha1,2088,1940,1982,1998,1992,33.84413194656372
ssl3-md5,2083,1970,2002,1999,1946,33.99679899215698
sha3-256,2048,2027,1900,1981,2044,34.469138860702515
sha224,1984,1971,1991,1992,2062,34.88547492027283
ripemd,1995,1965,1949,2031,2060,35.19728493690491
RSA-SHA3-224,2008,2027,2087,1924,1954,35.60434603691101
ripemd160WithRSA,1978,2046,1950,1999,2027,36.35189485549927
RSA-SHA512/256,1946,2004,1997,2045,2008,36.855612993240356
sm3,2054,2022,1996,2012,1916,36.94126605987549
sha512-224WithRSAEncryption,1979,2057,1930,1975,2059,37.45513296127319
blake2b512,2023,2032,1947,1988,2010,38.560240030288696
sha512-256WithRSAEncryption,1998,2086,1949,2051,1916,40.84573316574097
RSA-RIPEMD160,1976,2029,2000,1961,2034,41.08412504196167
RSA-SHA384,2018,2002,2009,2058,1913,41.37583112716675
sha384WithRSAEncryption,1987,1949,1995,2010,2059,43.02215909957886
id-rsassa-pkcs1-v1_5-with-sha3-384,2039,2034,2000,1965,1962,47.49357604980469
id-rsassa-pkcs1-v1_5-with-sha3-224,2056,2007,2031,1947,1959,50.54383993148804
ssl3-sha1,2018,1991,2023,1988,1980,51.05706191062927
sha1WithRSAEncryption,2030,2048,1983,2048,1891,52.63542580604553
md5,1966,2011,2047,1986,1990,53.03670310974121
sha224WithRSAEncryption,1985,2015,2027,1938,2035,53.218966007232666
ripemd160,2031,2043,1950,2028,1948,53.33779215812683
md5WithRSAEncryption,1936,2075,2025,1954,2010,53.63279390335083
shake128,2093,1981,1930,2003,1993,54.00038719177246
sha256WithRSAEncryption,2002,2001,1949,2029,2019,54.346320152282715
blake2s256,1962,2012,1966,2038,2022,55.240325927734375
RSA-SHA1-2,2005,1970,2005,1984,2036,56.27048110961914
RSA-SHA3-384,2008,1976,2045,1946,2025,56.82339000701904
sm3WithRSAEncryption,2033,1996,2027,2003,1941,57.37643814086914
RSA-SHA1,2022,1952,1961,1998,2067,58.42469620704651
sha512-224,1965,2049,2076,1961,1949,58.46595287322998
RSA-SHA512/224,2076,1949,1987,1985,2003,59.66116404533386
RSA-SM3,1998,2000,1993,1993,2016,60.956284046173096
sha3-512,2055,2016,1996,1955,1978,61.33617806434631
sha3-224,2019,2023,1904,2041,2013,61.37401294708252
shake256,2035,2042,1993,2042,1888,61.80736207962036
RSA-SHA256,1954,2045,1999,1959,2043,62.15697693824768
sha512-256,2008,1944,2003,2009,2036,63.69746804237366
RSA-MD5,2010,2000,1997,1935,2058,63.80993604660034
sha384,2018,1967,2005,1999,2011,65.3196530342102
sha512WithRSAEncryption,2043,2012,1976,1966,2003,65.97609496116638
sha512,2032,2042,1999,1948,1979,67.97602105140686
rmd160,2018,1988,2013,2015,1966,69.50797700881958
RSA-SHA512,1990,2018,2008,1964,2020,69.61763191223145
sha3-384,1994,1979,2016,2026,1985,70.21434307098389
RSA-SHA3-256,2005,2015,2007,1972,2001,71.7182559967041
id-rsassa-pkcs1-v1_5-with-sha3-512,2026,1985,1974,1995,2020,71.95504999160767
RSA-SHA3-512,2027,1980,2017,1970,2006,74.63074803352356
id-rsassa-pkcs1-v1_5-with-sha3-256,2035,2029,2067,1913,1956,78.57722306251526
