algorithm,twenty,fourty,sixty,eighty,hundred,time
custom,3,0,3,2,2,0.012470006942749023
graham,3,2,1,2,2,0.01572585105895996
ssl3-md5,2,4,0,1,3,0.05225110054016113
sha1WithRSAEncryption,1,2,2,3,2,0.05240297317504883
md5,3,2,2,1,2,0.0526888370513916
ssl3-sha1,1,2,3,1,3,0.055516958236694336
ripemd160,3,1,4,2,0,0.056578874588012695
sha1,2,5,1,1,1,0.05670595169067383
ripemd,1,3,2,2,2,0.05746293067932129
rmd160,0,3,3,2,2,0.05750298500061035
ripemd160WithRSA,3,2,4,1,0,0.05824589729309082
md5WithRSAEncryption,3,3,3,0,1,0.05845499038696289
sha256,3,2,0,1,4,0.058734893798828125
sha224WithRSAEncryption,0,1,3,4,2,0.059227943420410156
shake128,4,3,1,2,0,0.05942392349243164
sha3-224,1,5,1,1,2,0.059912919998168945
sm3WithRSAEncryption,2,1,4,0,3,0.060920000076293945
sha224,2,2,1,1,4,0.06118607521057129
id-rsassa-pkcs1-v1_5-with-sha3-224,4,2,1,2,1,0.062094926834106445
sha512-256,2,1,2,3,2,0.062326908111572266
sha512-224WithRSAEncryption,3,1,2,2,2,0.06334781646728516
sha256WithRSAEncryption,3,0,2,2,3,0.0642399787902832
sha512-224,0,2,4,3,1,0.06463885307312012
shake256,5,3,0,2,0,0.06517505645751953
sha512-256WithRSAEncryption,2,1,0,5,2,0.06639599800109863
sha384,3,1,1,2,3,0.06752395629882812
sha3-384,1,7,1,0,1,0.06758689880371094
sha384WithRSAEncryption,2,4,1,1,2,0.06915497779846191
sha3-512,1,4,0,0,5,0.06957483291625977
sha512,3,4,1,2,0,0.07037115097045898
sha512WithRSAEncryption,3,2,2,1,2,0.07140183448791504
id-rsassa-pkcs1-v1_5-with-sha3-256,3,2,1,2,2,0.07327508926391602
sha3-256,2,1,1,4,2,0.0792391300201416
sm3,4,2,2,2,0,0.08436799049377441
id-rsassa-pkcs1-v1_5-with-sha3-512,2,0,1,3,4,0.08486485481262207
md5-sha1,2,1,2,2,3,0.09124302864074707
RSA-SHA1-2,2,4,2,2,0,0.11225509643554688
blake2b512,2,1,3,2,2,0.11766481399536133
RSA-SHA256,1,2,4,1,2,0.1235048770904541
RSA-SM3,1,2,2,4,1,0.13089585304260254
RSA-SHA1,2,0,1,5,2,0.13223600387573242
RSA-SHA224,1,1,4,3,1,0.1375739574432373
RSA-RIPEMD160,3,2,1,3,1,0.16258811950683594
RSA-SHA512/224,1,2,1,1,5,0.16387295722961426
RSA-SHA512,2,3,3,0,2,0.1663370132446289
RSA-SHA3-256,0,3,1,1,5,0.1743319034576416
blake2s256,1,4,2,1,2,0.18865394592285156
RSA-SHA3-512,2,4,2,1,1,0.18923211097717285
RSA-SHA512/256,3,2,2,1,2,0.22523188591003418
id-rsassa-pkcs1-v1_5-with-sha3-384,3,2,2,1,2,0.22877001762390137
RSA-SHA384,4,4,1,0,1,0.29938316345214844
RSA-SHA3-224,5,1,2,2,0,0.5485081672668457
RSA-SHA3-384,2,0,2,4,2,0.6595778465270996
RSA-MD5,3,4,3,0,0,0.7072639465332031
