
algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,2045,1976,1956,1998,2025,6.786031007766724
custom,1971,1964,2021,1992,2052,17.198092937469482
RSA-MD5,2004,1967,2001,2043,1985,27.255560159683228
sha1,1976,1994,1973,2075,1982,27.703153133392334
ripemd,2054,1905,2008,2023,2010,29.654826879501343
RSA-SHA224,2011,2004,1953,1991,2041,29.73840093612671
ssl3-sha1,2002,1968,2053,2022,1955,30.564192056655884
sha512-256,1964,2020,1945,1935,2136,30.99218511581421
shake128,1969,2076,2042,1989,1924,31.25521683692932
RSA-SHA512/224,1990,1997,1979,1973,2061,31.578947067260742
sha3-224,2044,1932,2012,1954,2058,32.25050616264343
md5,2020,1908,2035,2064,1973,35.211973905563354
blake2s256,2017,2022,2011,1975,1975,36.92022514343262
md5WithRSAEncryption,1914,2053,2044,1971,2018,38.383583068847656
ripemd160,2034,2035,2027,1950,1954,39.66224789619446
sha224,1966,2008,2022,2016,1988,39.79622197151184
RSA-SHA1,2035,1966,2023,1992,1984,39.93287897109985
RSA-RIPEMD160,1989,2001,2035,1973,2002,40.00335884094238
sha512-224,2010,1991,1964,1983,2052,40.089513063430786
RSA-SHA256,2039,1970,1950,1998,2043,40.4580979347229
sha224WithRSAEncryption,2013,1997,2014,1951,2025,40.523529052734375
sha256,1978,2037,1959,2006,2020,40.7899169921875
rmd160,1950,1939,2001,2046,2064,40.79353213310242
sha512,2033,1962,2019,1972,2014,40.994783878326416
sha256WithRSAEncryption,1923,1899,1987,2071,2120,41.02449584007263
ripemd160WithRSA,2061,1965,2011,1943,2020,41.144102811813354
sha1WithRSAEncryption,1990,1990,2046,1949,2025,41.1716570854187
ssl3-md5,1958,2043,1977,2015,2007,41.211864948272705
RSA-SM3,2054,1990,1976,1977,2003,41.55729699134827
RSA-SHA1-2,2036,1944,2013,2038,1969,41.89313793182373
sha384,1972,1962,2018,2007,2041,41.93010592460632
sha384WithRSAEncryption,1975,2007,1982,1988,2048,42.088165044784546
RSA-SHA512/256,2002,2025,1976,1938,2059,42.32069706916809
blake2b512,1982,2025,1959,2016,2018,42.443325996398926
md5-sha1,1995,2004,1936,2051,2014,42.558480978012085
RSA-SHA384,2037,2050,1937,1934,2042,43.57999897003174
sha512-256WithRSAEncryption,2013,1977,1952,2028,2030,43.58352184295654
RSA-SHA3-224,1960,1969,2049,1962,2060,43.628201961517334
sha512-224WithRSAEncryption,2014,2013,2007,1943,2023,43.69297003746033
sha3-384,1973,2056,1977,1978,2016,45.867992877960205
id-rsassa-pkcs1-v1_5-with-sha3-224,1958,1935,2075,2047,1985,46.06635093688965
RSA-SHA3-384,1995,1948,1989,2046,2022,46.122430086135864
RSA-SHA3-256,2024,1953,2017,2016,1990,46.3631591796875
id-rsassa-pkcs1-v1_5-with-sha3-512,2039,2004,1922,1987,2048,47.32613396644592
sha3-256,2032,2024,1988,1951,2005,48.06975317001343
id-rsassa-pkcs1-v1_5-with-sha3-384,1956,2012,1960,2062,2010,48.29884719848633
id-rsassa-pkcs1-v1_5-with-sha3-256,1942,2052,1976,1988,2042,48.35305094718933
RSA-SHA3-512,2029,1994,1999,1975,2003,49.38602614402771
RSA-SHA512,1993,2026,2007,1980,1994,50.59413695335388
shake256,1995,2004,2035,1926,2040,51.0615918636322
sha3-512,1983,1959,1966,2043,2049,53.260639905929565
sha512WithRSAEncryption,1982,2028,1919,2038,2033,55.4923369884491
sm3,2062,2001,1925,2046,1966,73.16397595405579
sm3WithRSAEncryption,1938,1930,2024,2091,2017,120.4416069984436
